% Model:              GenSignalFourierDec18_C44.mph
% Version:            COMSOL 4.4.0.150
% Date:               Dec 12 2013, 09:03
% Table:              Probe Table 1 - 
% k                      l                        , gammac1                , gammas1                , gammac2                , gammas2                , gammac3                , gammas3
17                       4                        -0.028742663834730564    -0.19272885445198895     -156.08157159382063      657.0484270751695        -14.507880667201789      -239.75978910195045
18                       1                        -78.19049505697558       -112.35453320252736      -78926.97535448289       -18443.988061498385      28967.70466435689        -1855.7072995786439
18                       2                        71.13447964958965        -2315.4823061038096      58.55578293814324        4836.426938400138        -659.7300057996399       -1950.841717587653
18                       3                        -49.19553442592587       42.52208338872151        -204812.46479907632      -715409.5590557978       168578.0406683078        252220.9733835198
18                       4                        -0.01565764223222388     -0.18644252675974116     -135.58202363090095      692.7703007098316        -25.956910007786973      -252.68732210665257
19                       1                        -110.00826284249524      -116.13321404548788      -96190.89038082538       -5659.024511001073       33920.97619180195        -8198.631364787696
19                       2                        -475.85915168138894      -2850.4821567513623      804.9795533005963        5541.335004182183        -1068.0148997357755      -2163.4753356179135
19                       3                        -55.519981959689176      50.78448364999713        -443523.9808988422       -833171.6135210395       279354.05117486604       271127.7707164502
19                       4                        -0.0037912119544678546   -0.17961698673623516     -114.12818535283805      728.8294259165559        -38.004465232131224      -265.71174944633185
20                       1                        -146.32068764972973      -115.2848719169424       -113479.49265139317      12132.770774287637       38408.01694860344        -16444.97355485568
20                       2                        -1249.4165861503848      -3357.1695045454894      1739.0003548248787       6236.128062779084        -1561.2724876151478      -2349.909758575319
20                       3                        -64.55236931837862       61.761234650901315       -759735.2769068778       -915822.432150254        418735.30707256123       266302.8112185532
20                       4                        0.0069582376783472455    -0.17234577552535768     -91.75723201977598       765.1648884893075        -50.63106412914112       -278.81524610749966
