% Model:              IncommensuratePeriodicSignals.mph
% Version:            COMSOL 4.4.0.150
% Date:               Feb 4 2014, 05:28
% Table:              Table 4 - Global Evaluation 10 (u(t))
% Time (s)               C1(z)                    C2(z)                    C3(z)
1.0875000000000001       15.491374653147433       16.35081967342447        11.432722326027212
1.1                      15.36444140713594        16.204300132049998       11.284087019367036
1.1125                   15.251010572198838       16.058974085245218       11.138092692249455
1.125                    15.150796791681465       15.914889396433729       10.994662520692513
1.1375                   15.063284321061868       15.772153512961866       10.853708270900436
1.1500000000000001       14.987733551196063       15.630903714810879       10.715140160049353
1.1625                   14.923191058975858       15.491265805598646       10.57887720518964
1.175                    14.868503054684565       15.35331267824785        10.444856024541632
1.1875                   14.82233205104567        15.217035136386482       10.31303630203846
1.2000000000000002       14.783176528833161       15.082334642792189       10.18340176163558
1.2125000000000001       14.749393354590433       14.949042323223894       10.055956314291613
1.225                    14.719222620069736       14.816960998930083       9.930716052450455
1.2375                   14.69081455149399        14.685920287990722       9.807698570079863
