% Model:              GenSignalFourierDec.mph
% Version:            COMSOL 4.3.2.189
% Date:               Nov 25 2013, 12:07
% Table:              Probe Table 1 - 
% k                      m                        l                        gammac1*Ar, gammac1*Ar   gammas1*Ar, gammas1*Ar   gammac2*Ar, gammac2*Ar   gammas2*Ar, gammas2*Ar   gammac3*Ar, gammac3*Ar   gammas3*Ar, gammas3*Ar
3                        2                        2                        2.8102133672999335E-16   1.5601753023550143E-16   3.1836518757027666E-15   3.378216032118906E-15    -1.904585703385877E-15   -1.3917449886394148E-15
3                        2                        3                        -3.2041595918246E-16     -3.282841014276209E-16   -2.743031867208686E-14   -6.491573613065774E-15   1.3913327650620019E-14   4.1121556868323916E-16
3                        2                        4                        1.3087397400583867E-18   5.3551356770642264E-18   2.76873367441712E-16     3.576273817986099E-16    -1.7051841113944676E-16  -1.4332347052228597E-16
4                        1                        1                        -10.196065100648982      28.305829662246346       145.1116824675428        1012.6343965647859       -194.84864733657474      -509.6660971996067
4                        1                        2                        -9.037086212032553E-17   3.7280363345002913E-16   -2.9498732207026705E-15  4.344173828472893E-15    1.0399543111386924E-15   -2.5920593440315343E-15
4                        1                        3                        -2.2430241099806197E-17  3.5018830235996425E-17   4.173749291968869E-16    2.7286120188970202E-15   -5.437113187110911E-16   -1.3275971922531601E-15
4                        1                        4                        -4.3195220149311647E-16  1.3243346753018535E-16   -2.5506731110193293E-14  2.881577843339642E-14    9.226371161090052E-15    -1.77659245924617E-14
4                        2                        1                        1.6772342087715115E-14   6.0415784966301386E-15   6.000265921057738E-13    -8.598450595742545E-14   -3.0199765330121126E-13  1.1545565727722775E-13
4                        2                        2                        4.015737518487686E-16    9.734499050788429E-17    4.679423767523702E-15    3.177521757921284E-15    -2.792094557035501E-15   -1.120209989941405E-15
4                        2                        3                        8.134003425187359E-17    5.209987218422318E-17    6.3378871761651805E-15   -9.694581688579717E-16   -3.0836781343867656E-15  1.2629061847214159E-15
4                        2                        4                        -8.50324176764127E-18    -2.7734635888227193E-17  -1.8501934240063587E-15  -1.6377272707420022E-15  1.1407082730159463E-15   5.924036128049043E-16
5                        1                        1                        -4.200844639678631E-17   3.606787316097552E-16    6.142993449324893E-15    1.1405554264518939E-14   -4.83260216301772E-15    -5.3753307247601496E-15
5                        1                        2                        -0.0019018776275121214   0.31677851039968363      -1.622441066090676       3.833739813567984        0.38475681662022443      -2.2800902890700234
5                        1                        3                        -1.3268264958080068E-16  3.5099877582939017E-16   1.2932554663774621E-14   2.3849116309289748E-14   -1.0127819065802634E-14  -1.0801138638144833E-14
5                        1                        4                        5.495312175282606E-17    -1.948630444772252E-17   2.755203029783669E-15    -4.403726582859477E-15   -8.301082251445228E-16   2.7192877825175108E-15
5                        2                        1                        3.314028605375028E-16    3.859866990365186E-17    1.0479778756028756E-14   -5.64437385111472E-15    -4.939021412686585E-15   4.440345493912601E-15
5                        2                        2                        7.153532277489878E-17    4.2948440471964457E-19   8.657399602426201E-16    3.663816879503361E-16    -5.148928649835283E-16   -8.688626962834402E-17
5                        2                        3                        3.181935354471917E-16    1.2028179090627302E-16   2.1620117100993423E-14   -1.1723845136121116E-14  -9.791636685926021E-15   9.181247277230684E-15
5                        2                        4                        -2.0039892642267343E-16  -5.651428998445271E-16   -4.5288324517092745E-14  -2.833475843144217E-14   2.7965402763507257E-14   8.536908451833157E-15
6                        1                        1                        2.7258700913637456E-16   3.1531371446198005E-15   8.684883229243069E-14    8.289759183833431E-14    -6.054670132415553E-14   -3.4436988799798224E-14
6                        1                        2                        -2.8390698878973305E-17  -1.42518960335922E-16    4.1830279270445914E-16   -1.8111027567080516E-15  1.6514926162017576E-17   1.0731414370150372E-15
6                        1                        3                        0.1601589112746298       -0.9156183935449325      -52.86431145611462       -50.96337076855934       36.70219020336842        20.13448690873319
6                        1                        4                        -2.6682416805223656E-18  1.033181202793758E-18    -1.0841407854160265E-16  2.452390123687941E-16    2.2402718550022018E-17   -1.5176898838075835E-16
6                        2                        1                        -2.3768668898420805E-16  2.0547886339764073E-17   -6.2489048922077315E-15  6.546753421366289E-15    2.5958952849198315E-15   -4.56407200401068E-15
6                        2                        2                        8.668765090080635E-16    -1.7268740856955857E-16  1.1016095202315158E-14   2.544341214647544E-15    -6.52741993347582E-15    1.0045260997295484E-16
6                        2                        3                        -1.8913099013656697E-15  -3.308257422776433E-16   -1.0527041442284617E-13  1.0919701525228228E-13   4.1589984122186374E-14   -7.581238671313958E-14
6                        2                        4                        -1.3250548925825678E-16  -3.4220199552770634E-16  -3.145190333648663E-14   -1.3904105573045827E-14  1.946437275994815E-14    2.873148654070296E-15
7                        1                        1                        1.668701901821884E-15    6.157780148663588E-15    2.3009571793521E-13      1.2073713702576205E-13   -1.5146876489603692E-13  -3.652886586073801E-14
7                        1                        2                        0.08075919881158705      0.2041590264115618       -0.2096666234615687      2.7589740263796          -0.27932146866891444     -1.6282966413140243
